wnid,synset,gloss,safety
n10312287,meteorologist,a specialist who studies processes in the earth's atmosphere that cause weather conditions,safe
n09937056,"collegian, college man, college boy",a student (or former student) at a college or university,safe
n10143172,grandparent,a parent of your father or mother,safe
n10137825,"gondolier, gondoliere",a (Venetian) boatman who propels a gondola,safe
n10300654,material,"a person judged suitable for admission or employment; ""he was university material""; ""she was vice-presidential material""",safe
n10331347,"mortgagee, mortgage holder","the person who accepts a mortgage; ""the bank became our mortgagee when it accepted our mortgage on our new home""",safe
n10595647,"sick person, diseased person, sufferer",a person suffering from an illness,safe
n10751265,"vice president, V.P.",an executive officer ranking immediately below a president; may serve in the president's place under certain circumstances,safe
n10040698,dyspeptic,a person suffering from indigestion,safe
n10321632,Minuteman,an American militiaman prior to and during the American Revolution,safe
n10216403,invigilator,someone who watches examination candidates to prevent cheating,safe
n10092978,"first lieutenant, 1st lieutenant",a commissioned officer in the Army or Air Force or Marines ranking above a 2nd lieutenant and below a captain,safe
n09970402,countess,female equivalent of a count or earl,safe
n10383094,organization man,an employee who sacrifices his own individuality for the good of an organization,safe
n09964202,"copilot, co-pilot",a relief pilot on an airplane,safe
n09932336,coachman,a man who drives a coach (or carriage),safe
n10043024,"eclectic, eclecticist",someone who selects according to the eclectic method,safe
n10313724,"microeconomist, microeconomic expert",an economist who specializes in microeconomics,safe
n09951274,computer user,a person who uses computers for work or entertainment or communication or business,safe
n10801561,Wykehamist,a student enrolled in (or graduated from) Winchester College,safe
n10686885,syndic,one appointed to represent a city or university or corporation in business transactions,safe
n10578021,semifinalist,one of four competitors remaining in a tournament by elimination,safe
n10387836,outlier,a person who lives away from his place of work,safe
n10210648,"interior designer, designer, interior decorator, house decorator, room decorator, decorator",a person who specializes in designing architectural interiors and their furnishings,safe
n10084043,female offspring,a child who is female,safe
n10385566,"osteopath, osteopathist",a therapist who manipulates the skeleton and muscles,safe
n10283546,"major-domo, seneschal",the chief steward or butler of a great household,safe
n09927089,cleaner,someone whose occupation is cleaning,safe
n09981092,crown prince,a male heir apparent to a throne,safe
n10559288,"schoolchild, school-age child, pupil",a young person attending school (up through senior high school),safe
n10723597,transactor,someone who conducts or carries on business or negotiations,safe
n09893191,captain,an officer holding a rank below a major but above a lieutenant,safe
n10628644,"sovereign, crowned head, monarch",a nation's ruler or head of state usually by hereditary right,safe
n10655169,"stevedore, loader, longshoreman, docker, dockhand, dock worker, dockworker, dock-walloper, lumper",a laborer who loads and unloads vessels in a port,safe
n10308066,nonmember,a person who is not a member,safe
n09967967,co-star,one of two actors who are given equal status as stars in a play or film,safe
n09765118,active citizen,a citizen who takes an active role in the community (as in crime prevention and neighborhood watch),safe
n10526534,revenant,a person who returns after a lengthy absence,safe
n10071557,"existentialist, existentialist philosopher, existential philosopher",a philosopher who emphasizes freedom of choice and personal responsibility but who regards human existence in a hostile universe as unexplainable,safe
n10354265,"neurologist, brain doctor",a medical specialist in the nervous system and the disorders affecting it,safe
n09783776,alienor,someone from whom the title of property is transferred,safe
n10147710,grocer,a retail merchant who sells foodstuffs (and some household supplies),safe
n10329035,monologist,an entertainer who performs alone,safe
n09849990,"benedick, benedict",a newly married man (especially one who has long been a bachelor),safe
n10041887,"earner, wage earner",someone who earn wages in return for their labor,safe
n10642596,square dancer,someone who does square dancing,safe
n09988311,dairyman,a man who works in a dairy,safe
n10768148,warrantee,a customer to whom a warrant or guarantee is given,safe
n10227166,Jungian,a follower or advocate of Carl Jung's theories,safe
n10153414,"guy, cat, hombre, bozo","an informal term for a youth or man; ""a nice guy""; ""the guy's only doing it for some doll""",safe
n10191001,hugger,a person who hugs,safe
n10631131,native speaker,"a speaker of a particular language who has spoken that language since earliest childhood; ""native speakers of French""",safe
n09967406,"cosmopolitan, cosmopolite",a sophisticated person who has travelled in many countries,safe
n10803978,yogi,one who practices yoga and has achieved a high level of spiritual insight,safe
n10142537,Grand Inquisitor,director of the court of Inquisition (especially in Spain and Portugal),safe
n09833751,balancer,an acrobat who balances himself in difficult positions,safe
n10735173,typist,someone paid to operate a typewriter,safe
n10504206,"radiologist, radiotherapist",a medical specialist who uses radioactive substances and X-rays in the treatment of disease,safe
n10289766,mandarin,any high government official or bureaucrat,safe
n10174445,high commissioner,a senior diplomat from one country to another who is assigned ambassadorial rank,safe
n10431122,piano maker,a person who makes pianos,safe
n10508710,reader,a person who enjoys reading,safe
n09902954,"celebrant, celebrator, celebrater",a person who is celebrating,safe
n10564098,"screen actor, movie actor",an actor who plays a role in a film,safe
n10069296,executant,a performer (usually of musical works),safe
n10706812,"theorist, theoretician, theorizer, theoriser, idealogue",someone who theorizes (especially in science or art),safe
n10049363,"electrician, lineman, linesman",a person who installs or repairs electrical or telephone lines,safe
n10458111,"problem solver, solver, convergent thinker",a thinker who focuses on the problem as stated and tries to synthesize information and knowledge to achieve a solution,safe
n10260473,"lieutenant junior grade, lieutenant JG",an officer holding a commissioned rank in the United States Navy or United States Coast Guard; below lieutenant and above ensign,safe
n10006177,"dermatologist, skin doctor",a doctor who specializes in the physiology and pathology of the skin,safe
n10150940,"guest, invitee",a visitor to whom hospitality is extended,safe
n10768272,warrantee,a recipient of a warrant issued by a court in the United States,safe
n09946814,compere,British term for someone who introduces television acts or cabarets etc,safe
n10249459,"lawman, law officer, peace officer",an officer of the law,safe
n10130686,"girlfriend, girl, lady friend","a girl or young woman with whom a man is romantically involved; ""his girlfriend kicked him out""",safe
n10593521,shot putter,an athlete who competes in the shot put,safe
n10569011,"second lieutenant, 2nd lieutenant",a commissioned officer in the Army or Air Force or Marine Corps holding the lowest rank,safe
n09865672,book agent,a book salesman,safe
n10719132,"town crier, crier",(formerly) an official who made public announcements,safe
n10140683,grabber,an unpleasant person who grabs inconsiderately,safe
n10605253,skier,someone who skis,safe
n09613191,contestant,a person who participates in competitions,safe
n10214390,"invalidator, voider, nullifier","an official who can invalidate or nullify; ""my bank check was voided and I wanted to know who the invalidator was""",safe
n10342893,muzzler,someone who muzzles animals,safe
n10275395,"loyalist, stalwart",a person who is loyal to their allegiance (especially in times of revolt),safe
n10667863,subcontractor,someone who enters into a subcontract with the primary contractor,safe
n09811568,arthritic,"a person afflicted with arthritis; ""the hands of an elderly arthritic""",safe
n10720453,"trader, bargainer, dealer, monger",someone who purchases and maintains an inventory of goods to be sold,safe
n10260706,life,"a living person; ""his heroism saved a life""",safe
n10776887,whipper-in,huntsman's assistant in managing the hounds,safe
n10590146,shipmate,an associate on the same ship with you,safe
n10665698,"student, pupil, educatee",a learner who is enrolled in an educational institution,safe
n09779790,"agriculturist, agriculturalist, cultivator, grower, raiser",someone concerned with the science or art or business of cultivating the soil,safe
n10421956,"philanthropist, altruist",someone who makes charitable donations intended to increase human well-being,safe
n09886403,"caddie, golf caddie",an attendant who carries the golf clubs for a player,safe
n10438619,"planter, plantation owner",the owner or manager of a plantation,safe
n09846755,"beekeeper, apiarist, apiculturist",a farmer who keeps bees for their honey,safe
n09618760,exponent,someone who expounds and interprets or explains,safe
n09881895,business editor,the newspaper editor responsible for business news,safe
n10050043,elegist,the author of a mournful poem lamenting the dead,safe
n09833275,bailor,the person who delivers personal property (goods or money) in trust to the bailee in a bailment,safe
n10435716,"pisser, urinator",a person who urinates,safe
n09618957,face,"a part of a person that is used to refer to a person; ""he looked out at a roomful of faces""; ""when he returned to work he met many new faces""",safe
n10393909,painter,a worker who is employed to cover objects with paint,safe
n10603528,"waverer, vacillator, hesitator, hesitater",one who hesitates (usually out of fear),safe
n10783539,winker,a person who winks,safe
n09877951,"buddy, brother, chum, crony, pal, sidekick",a close friend who accompanies his buddies in their activities,safe
n09856401,bird fancier,a person with a strong interest in birds,safe
n10765587,waltzer,a dancer who waltzes,safe
n09899929,"casuist, sophist",someone whose reasoning is subtle and often specious,safe
n09983889,"curator, conservator",the custodian of a collection (as a museum or library),safe
n10546428,"sailing master, navigator",the ship's officer in charge of navigation,safe
n10362319,nonsmoker,a person who does not smoke tobacco,safe
n10490421,"publican, tavern keeper",the keeper of a public house,safe
n10629329,spacewalker,an astronaut who is active outside a spacecraft in outer space,safe
n10546633,"sailor, crewman",any member of a ship's crew,safe
n10442417,"plodder, slogger",someone who works slowly and monotonously for long hours,safe
n10408809,patternmaker,someone who makes patterns (as for sewing or carpentry or metalworking),safe
n10110731,free-liver,someone who gratifies physical appetites (especially for food and drink) with more than the usual freedom,safe
n10126424,geneticist,a biologist who specializes in genetics,safe
n10699981,term infant,infant born at a gestational age between 37 and 42 completed weeks,safe
n10542761,runner,someone who travels on foot by running,safe
n09950728,computational linguist,someone trained in computer science and linguistics who uses computers for natural language processing,safe
n10340312,"musician, instrumentalist, player",someone who plays a musical instrument (as a profession),safe
n09792555,"ancestor, ascendant, ascendent, antecedent, root",someone from whom you are descended (but usually more remote than a grandparent),safe
n10145774,great grandparent,a parent of your grandparent,safe
n10077593,"fan, buff, devotee, lover",an ardent follower and admirer,safe
n09959142,constable,a lawman with less authority and jurisdiction than a sheriff,safe
n10091564,"fire-eater, hothead",a belligerent grouch,safe
n09760913,"accompanist, accompanyist",a person who provides musical accompaniment (usually on a piano),safe
n10668450,"subduer, surmounter, overcomer",someone who overcomes and establishes ascendancy and control by force or persuasion,safe
n10056611,end man,a man at one end of a row of people,safe
n10237464,kitchen help,help hired to work in the kitchen,safe
n10043643,"economist, economic expert",an expert in the science of economics,safe
n09935107,coiner,someone who is a source of new words or new expressions,safe
n10068234,"examiner, tester, quizzer",someone who administers a test to determine your qualifications,safe
n09835348,balloonist,someone who flies a balloon,safe
n09870096,bowler,a cricketer who delaivers the ball to the batsman in cricket,safe
n09627906,"recipient, receiver",a person who receives something,safe
n09902353,"cavalryman, trooper","a soldier mounted on horseback; ""a cavalryman always takes good care of his mount""",safe
n10579549,senior vice president,the ranking vice president in a firm that has more than one,safe
n10168012,"hedger, equivocator, tergiversator",a respondent who avoids giving a clear direct answer,safe
n10577284,"seller, marketer, vender, vendor, trafficker",someone who promotes or exchanges goods or services for money,safe
n10040945,"eager beaver, busy bee, live wire, sharpie, sharpy",an alert and energetic person,safe
n09863031,"bodyguard, escort",someone who escorts and protects a prominent person,safe
n10121800,gastroenterologist,a physician who specializes in diseases of the gastrointestinal tract,safe
n10439727,"playboy, man-about-town, Corinthian",a man devoted to the pursuit of pleasure,safe
n10251612,leaker,"a surreptitious informant; ""the president wanted to know who the leakers were""",safe
n10451590,"pollster, poll taker, headcounter, canvasser","someone who conducts surveys of public opinion; ""a pollster conducts public opinion polls""; ""a headcounter counts heads""",safe
n09760609,companion,one paid to accompany or assist or live with another,safe
n10556033,scene painter,a painter of theatrical scenery,safe
n10405694,patient,"a person who requires medical care; ""the number of emergency patients has grown rapidly""",safe
n10466198,"presenter, sponsor",an advocate who presents a person (as for an award or a degree or an introduction etc.),safe
n10335931,mover,someone who moves,safe
n09779124,"agnostic, doubter",someone who is doubtful or noncommittal about something,safe
n09873473,breadwinner,one whose earnings are the primary source of support for their dependents,safe
n09965787,cornerback,a defensive football player stationed outside the linebackers,safe
n10052694,"emissary, envoy",someone sent on a mission to represent the interests of someone else,safe
n09856671,birth,"a baby born; an offspring; ""the overall rate of incidence of Down's syndrome is one in every 800 births""",safe
n10195155,hypertensive,a person who has abnormally high blood pressure,safe
n10305635,"medical officer, medic",a medical practitioner in the armed forces,safe
n10432441,pilgrim,someone who journeys in foreign lands,safe
n10726786,"traveling salesman, travelling salesman, commercial traveler, commercial traveller, roadman, bagman",a salesman who travels to call on customers,safe
n10230216,Khedive,one of the Turkish viceroys who ruled Egypt between 1867 and 1914,safe
n09801102,apprehender,a person who seizes or arrests (especially a person who seizes or arrests in the name of justice),safe
n10404426,passer,a student who passes an examination,safe
n10772937,weeder,a farmhand hired to remove weeds,safe
n09933098,"cobbler, shoemaker",a person who makes or repairs shoes,safe
n10402824,party,"a person involved in legal proceedings; ""the party of the first part""",safe
n09756049,"abettor, abetter",one who helps or encourages or incites another,safe
n10054657,employer,a person or firm that employs workers,safe
n10409752,"payer, remunerator",a person who pays money for something,safe
n10051026,"emancipator, manumitter","someone who frees others from bondage; ""Lincoln is known as the Great Emancipator""",safe
n10212231,internist,a specialist in internal medicine,safe
n10760951,vower,"someone who makes a solemn promise to do something or behave in a certain way; ""young vowers of eternal love""; ""there are many vowers of chastity but few who observe it""",safe
n10592811,"shop steward, steward",a union member who is elected to represent fellow workers in negotiating with management,safe
n10493922,purchasing agent,an agent who purchases goods or services for another,safe
n10381981,orderly,"a soldier who serves as an attendant to a superior officer; ""the orderly laid out the general's uniform""",safe
n10497645,"quadruplet, quad",one of four children born at the same time from the same pregnancy,safe
n10174589,"highflier, highflyer",a person of great ability and ambition,safe
n10734394,twin,either of two offspring born at the same time from the same pregnancy,safe
n10075693,facilitator,someone who makes progress easier,safe
n10414239,penologist,a person who studies the theory and practice of prison management,safe
n10464870,"preemptor, pre-emptor",a bidder in bridge who makes a preemptive bid,safe
n10417682,personage,"another word for person; a person not meriting identification; ""a strange personage appeared at the door""",safe
n09774783,"advocate, advocator, proponent, exponent",a person who pleads for a cause or propounds an idea,safe
n10000294,defense contractor,a contractor concerned with the development and manufacture of systems of defense,safe
n09809538,"army engineer, military engineer",a member of the military who is trained in engineering and construction work,safe
n09906704,"champion, champ, title-holder",someone who has won first place in a competition,safe
n10356450,newspaper editor,the editor of a newspaper,safe
n09817386,associate professor,a teacher lower in rank than a full professor but higher than an assistant professor,safe
n10756837,visiting fireman,an important or distinguished visitor,safe
n10739135,universal donor,a person whose type O Rh-negative blood may be safely transfused into persons with other blood types,safe
n10252075,"leaseholder, lessee",a tenant who holds a lease,safe
n10064977,etcher,someone who etches,safe
n10205457,infielder,(baseball) a person who plays a position in the infield,safe
n10308168,board member,a member of a governing board,safe
n10652703,"stationer, stationery seller",a merchant who sells writing materials and office supplies,safe
n10630188,"speaker, talker, utterer, verbalizer, verbaliser","someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous); ""the speaker at commencement""; ""an utterer of useful maxims""",safe
n10722575,trainer,one who trains other persons or animals,safe
n09764598,aerialist,an acrobat who performs in the air (as on a rope or trapeze),safe
n10568443,seconder,someone who endorses a motion or petition as a necessary preliminary to a discussion or vote,safe
n09825096,"authorizer, authoriser","an authority who authorizes (people or actions); ""the agents report back to their authorizers""",safe
n10456696,"postdoc, post doc",a scholar or researcher who is involved in academic study beyond the level of a doctoral degree,safe
n09866115,bookkeeper,someone who records the transactions of a business,safe
n10482054,"promiser, promisor",a person who makes a promise,safe
n10442093,"plier, plyer",someone who plies a trade,safe
n10097262,"floorwalker, shopwalker","an employee of a retail store who supervises sales personnel and helps with customer problems; ""a floorwalker is called a shopwalker in Britain""",safe
n10794014,"writer, author",writes (books or stories or articles or the like) professionally (for pay),safe
n10488656,psycholinguist,a person (usually a psychologist but sometimes a linguist) who studies the psychological basis of human language,safe
n10051861,emeritus,a professor or minister who is retired from assigned duties,safe
n10536134,"rocket engineer, rocket scientist",an engineer who builds and tests rockets,safe
n10749928,"vibist, vibraphonist",a musician who plays the vibraphone,safe
n10417551,personal representative,a person who manages the affairs of another,safe
n10378780,operator,"someone who owns or operates a business; ""who is the operator of this franchise?""",safe
n10678937,supremo,the most important person in an organization,safe
n10737103,"understudy, standby",an actor able to replace a regular performer when required,safe
n10735984,"umpire, ump",an official at a baseball game,safe
n10415037,percussionist,a musician who plays percussion instruments,safe
n10590239,shipowner,someone who owns a ship or a share in a ship,safe
n10316360,military attache,an attache who is a specialist in military matters,safe
n10222716,job candidate,an applicant who is being considered for a job,safe
n10033888,dribbler,a basketball player who is dribbling the ball to advance it,safe
n10519984,remover,someone who works for a company that moves furniture,safe
n10696508,technician,someone known for high skill in some intellectual or artistic technique,safe
n10105733,forward,"the person who plays the position of forward in certain games, such as basketball, soccer, or hockey",safe
n09986904,cytogeneticist,a geneticist who specializes in the cellular components associated with heredity,safe
n10152306,gunnery sergeant,a noncommissioned officer ranking above a staff sergeant in the marines,safe
n09971385,"county agent, agricultural agent, extension agent",an advisor employed by the government to assist people in rural areas with methods of farming and home economics,safe
n10671736,"successor, replacement","a person who follows next in order; ""he was President Lincoln's successor""",safe
n10467179,president,the chief executive of a republic,safe
n10686517,symphonist,a composer of symphonies,safe
n09837720,banker,the person in charge of the bank in a gambling game,safe
n10203949,inductee,"a person inducted into an organization or social group; ""Ty Cobb and Babe Ruth were 1936 inductees in the National Baseball Hall of Fame""",safe
n10074578,"extern, medical extern",a nonresident doctor or medical student; connected with a hospital but not living there,safe
n09764900,active,"a person who is a participating member of an organization; ""the club issues a list of members, both the actives and the retirees""",safe
n10101308,football hero,a football player who has achieved a reputation for success,safe
n09929577,clinician,a practitioner (of medicine or psychology) who does clinical work instead of laboratory experiments,safe
n10259780,"lieutenant colonel, light colonel",a commissioned officer in the United States Army or Air Force or Marines holding a rank above major and below colonel,safe
n10568200,"second baseman, second sacker",(baseball) the person who plays second base,safe
n10512859,recruiting-sergeant,a sergeant deputized to enlist recruits,safe
n09784043,algebraist,a mathematician whose specialty is algebra,safe
n10320484,mining engineer,an engineer concerned with the construction and operation of mines,safe
n09841696,"base runner, runner",a baseball player on the team at bat who is on base (or attempting to reach a base),safe
n10186350,"horticulturist, plantsman",an expert in the science of cultivating plants (fruit or flowers or vegetables or ornamental plants),safe
n10475835,print seller,someone who sells etchings and engravings etc.,safe
n10095769,flatmate,an associate who shares an apartment with you,safe
n10259348,lieutenant,a commissioned military officer,safe
n09787534,"ambassador, embassador",a diplomat of the highest rank; accredited as representative from one country to another,safe
n10148825,group captain,a commissioned officer (especially one in the Royal Air Force) equivalent in rank to a colonel in the army,safe
n10187990,"hotelier, hotelkeeper, hotel manager, hotelman, hosteller",an owner or manager of hotels,safe
n10517283,Regius professor,holder of a British professorship created by a royal patron,safe
n10509810,"real estate broker, real estate agent, estate agent, land agent, house agent","a person who is authorized to act as an agent for the sale of land; ""in England they call a real estate agent a land agent""",safe
n10727458,"Treasury, First Lord of the Treasury",the British cabinet minister responsible for economic strategy,safe
n10308732,"mender, repairer, fixer",a skilled worker who mends or repairs things,safe
n10015485,director,member of a board of directors,safe
n10371221,office-bearer,the person who holds an office,safe
n09830629,"backpacker, packer",a hiker who wears a backpack,safe
n10061882,epidemiologist,a medical scientist who studies the transmission and control of epidemic diseases,safe
n10756641,visionary,a person given to fanciful speculations and enthusiasms with little regard for what is actually possible,safe
n09966554,"correspondent, letter writer",someone who communicates by means of letters,safe
n10066206,Etonian,a student enrolled in (or graduated from) Eton College,safe
n10260800,"lifeguard, lifesaver",an attendant employed at a beach or pool to protect swimmers from accidents,safe
n10132502,gleaner,someone who gathers something in small pieces (e.g. information) slowly and carefully,safe
n10228278,"juror, juryman, jurywoman",someone who serves (or waits to be called to serve) on a jury,safe
n10307114,melter,a worker who melts substances (metal or wax etc.),safe
n10143595,grantee,a recipient of a grant,safe
n10011486,"diarist, diary keeper, journalist",someone who keeps a diary or journal,safe
n10559009,scholiast,a scholar who writes explanatory notes on an author (especially an ancient commentator on a classical author),safe
n10159533,hang glider,a rider of a hang glider,safe
n10500603,queen mother,a queen dowager who is mother of the reigning sovereign,safe
n10001217,"deliveryman, delivery boy, deliverer",someone employed to make deliveries,safe
n09874862,"bridesmaid, maid of honor",an unmarried woman who attends the bride at a wedding,safe
n10503818,radiobiologist,a biologist who studies the effects of radiation on living organisms,safe
n10715347,toolmaker,someone skilled in making or repairing tools,safe
n11346873,"Townes, Charles Townes, Charles Hard Townes",United States physicist who developed the laser and maser principles for producing high-intensity radiation (1915-),safe
n10474064,princess,a female member of a royal family other than the queen (especially the daughter of a sovereign),safe
n10092488,"first baseman, first sacker",(baseball) the person who plays first base,safe
n10484858,"prosecutor, public prosecutor, prosecuting officer, prosecuting attorney",a government official who conducts criminal prosecutions on behalf of the state,safe
n10271677,"Lord, noble, nobleman",a titled peer of the realm,safe
n10559996,schoolmaster,any person (or institution) who acts as an educator,safe
n10099002,folk poet,a folk writer who composes in verse,safe
n10740594,upsetter,an unexpected winner; someone who defeats the favorite competitor,safe
n10638922,"sport, sportsman, sportswoman",someone who engages in sports,safe
n10514121,reenactor,a person who enacts a role in an event that occurred earlier,safe
n10127689,geologist,a specialist in geology,safe
n10132035,glassblower,someone skilled in blowing bottles from molten glass,safe
n10080869,"father, male parent, begetter","a male parent (also used as a term of address to your father); ""his father was born in Atlanta""",safe
n09938080,"coloratura, coloratura soprano",a lyric soprano who specializes in coloratura vocal music,safe
n10568358,second cousin,a child of a first cousin,safe
n10595164,"sibling, sib",a person's brother or sister,safe
n10184505,hooker,(rugby) the player in the middle of the front row of the scrum who tries to capture the ball with the foot,safe
n10789709,wonderer,someone who is curious about something,safe
n09889170,"calligrapher, calligraphist",someone skilled in penmanship,safe
n09834699,ballet dancer,a trained dancer who is a member of a ballet company,safe
n10804287,"young buck, young man",a teenager or a young adult male,safe
n10167152,heavyweight,a wrestler who weighs more than 214 pounds,safe
n10739391,Unknown Soldier,an unidentified soldier whose body is honored as a memorial,safe
n10780632,"wife, married woman",a married woman; a man's partner in marriage,safe
n10650162,"statesman, solon, national leader",a man who is a respected leader in national or international affairs,safe
n10223177,jockey,someone employed to ride horses in horse races,safe
n09840217,"baron, big businessman, business leader, king, magnate, mogul, power, top executive, tycoon","a very wealthy or powerful businessman; ""an oil baron""",safe
n10597745,"signor, signior",used as an Italian courtesy title; can be prefixed to the name or used separately,safe
n10500824,Queen's Counsel,Counsel to the Crown when the British monarch is a queen,safe
n10791820,workmate,a fellow worker,safe
n10194775,hydrologist,a geologist skilled in hydrology,safe
n09905185,"certified public accountant, CPA","an accountant who has passed certain examinations and met all other statutory and licensing requirements of a United States state to be certified by that state; ""in addition to accounting and auditing, CPAs also prepare tax returns for individuals and corporations""",safe
n10589666,ship-breaker,a contractor who buys old ships and breaks them up for scrap,safe
n09981540,"cryptanalyst, cryptographer, cryptologist",decoder skilled in the analysis of codes and cryptograms,safe
n10305802,"medical practitioner, medical man",someone who practices medicine,safe
n10344203,nailer,a worker who attaches something by nailing it,safe
n10724372,"transfer, transferee","someone who transfers or is transferred from one position to another; ""the best student was a transfer from LSU""",safe
n10107173,"foster-son, foster son",someone who is raised as a son although not related by birth,safe
n09824609,authority,"(usually plural) persons who exercise (administrative) control over others; ""the authorities have issued a curfew""",safe
n09976429,"creature, wight",a human being; `wight' is an archaic term,safe
n09992837,"daughter, girl","a female human offspring; ""her daughter cared for her in her old age""",safe
n10577820,"semanticist, semiotician",a specialist in the study of meaning,safe
n09805324,"archer, bowman",a person who is expert in the use of a bow and arrow,safe
n10518349,"reliever, allayer, comforter","a person who reduces the intensity (e.g., of fears) and calms and pacifies; ""a reliever of anxiety""; ""an allayer of fears""",safe
n10500217,queen,"something personified as a woman who is considered the best or most important of her kind; ""Paris is the queen of cities""; ""the queen of ocean liners""",safe
n09626238,"peer, equal, match, compeer",a person who is of equal standing with another in a group,safe
n09814567,assenter,a person who assents,safe
n09867069,"bootmaker, boot maker",a maker of boots,safe
n10055566,"encyclopedist, encyclopaedist",a person who compiles information for encyclopedias,safe
n10142747,"grandma, grandmother, granny, grannie, gran, nan, nanna",the mother of your father or mother,safe
n09607782,argonaut,someone engaged in a dangerous but potentially rewarding adventure,safe
n10160412,"harmonizer, harmoniser",a mediator who brings one thing into harmonious agreement with another,safe
n10755080,violist,a musician who plays the viola,safe
n10165448,"hearer, listener, auditor, attender",someone who listens attentively,safe
n10505613,raiser,a bridge partner who increases the partner's bid,safe
n09931418,"coach, private instructor, tutor","a person who gives private instruction (as in singing, acting, etc.)",safe
n10153155,guvnor,(British slang) boss,safe
n10624540,"songwriter, songster, ballad maker",a composer of words or music for popular songs,safe
n09801275,April fool,the butt of a prank played on April 1st,safe
n09854915,biochemist,someone with special training in biochemistry,safe
n10344774,namer,"a person who gives a name or names; ""the owner is usually the namer of a boat""",safe
n09932508,"coal miner, collier, pitman",someone who works in a coal mine,safe
n10717055,tosser,someone who throws lightly (as with the palm upward),safe
n10383505,"organizer, organiser, labor organizer",someone who enlists workers to join a union,safe
n10149867,"prison guard, jailer, jailor, gaoler, screw, turnkey",someone who guards prisoners,safe
n10096508,flight surgeon,a medical officer specializing in aviation medicine,safe
n10179069,hobbyist,a person who pursues an activity in their spare time for pleasure,safe
n09854218,big sister,an older sister,safe
n10763383,"waiter, server",a person whose occupation is to serve at table (as in a restaurant),safe
n10499110,quartermaster general,a staff officer in charge of supplies for a whole army,safe
n09832978,bailee,the agent to whom property involved in a bailment is delivered,safe
n10366276,number theorist,a mathematician specializing in number theory,safe
n09818022,"astronaut, spaceman, cosmonaut","a person trained to travel in a spacecraft; ""the Russians called their astronauts cosmonauts""",safe
n10297841,"masquerader, masker, masquer",a participant in a masquerade,safe
n09765278,"actor, histrion, player, thespian, role player",a theatrical performer,safe
n10553235,"saunterer, stroller, ambler",someone who walks at a leisurely pace,safe
n10066314,etymologist,a lexicographer who specializes in etymology,safe
n10087736,filer,a party who files a notice with a law court,safe
n10645223,stage director,someone who supervises the actors and directs the action in the production of a stage show,safe
n10221312,"jester, fool, motley fool",a professional clown employed to entertain a king or nobleman in the Middle Ages,safe
n10389865,owner-occupier,an occupant who owns the home that he/she lives in,safe
n10304914,"medalist, medallist, medal winner",(golf) the winner at medal play of a tournament,safe
n09892693,"captain, senior pilot",the pilot in charge of an airship,safe
n10128748,"ghostwriter, ghost",a writer who gives the credit of authorship to someone else,safe
n10359546,"Nobelist, Nobel Laureate",winner of a Nobel prize,safe
n10017272,"disk jockey, disc jockey, dj",a person who announces and plays popular recorded music,safe
n10567613,Sea Scout,a Boy Scout enrolled in programs for water activities,safe
n10396908,paperboy,a boy who sells or delivers newspapers,safe
n10364502,"nuclear chemist, radiochemist",a chemist who specializes in nuclear chemistry,safe
n10773800,"welfare case, charity case",a case for a welfare worker,safe
n10290919,manicurist,a beautician who cleans and trims and polishes the fingernails,safe
n10741493,urologist,a specialist in urology,safe
n10136615,"goldsmith, goldworker, gold-worker",an artisan who makes jewelry and other objects out of gold,safe
n10627252,soul mate,someone for whom you have a deep affinity,safe
n09853881,"big shot, big gun, big wheel, big cheese, big deal, big enchilada, big fish, head honcho","an important influential person; ""he thinks he's a big shot""; ""she's a big deal in local politics""; ""the Qaeda commander is a very big fish""",safe
n09958569,"consigner, consignor",the person who delivers over or commits merchandise,safe
n10498816,"quarterback, signal caller, field general",(football) the person who plays quarterback,safe
n10793799,"write-in candidate, write-in",a candidate for public office whose name does not appear on the ballot and so must be written on the ballot by the voters,safe
n10197392,"ideologist, ideologue",an advocate of some ideology,safe
n09627807,"prize winner, lottery winner",the winner of a lottery,safe
n10730728,"trooper, state trooper",a state police officer,safe
n10618342,soccer player,an athlete who plays soccer,safe
n10414768,pentathlete,an athlete who competes in a pentathlon,safe
n09805475,"architect, designer",someone who creates plans to be used in making something (such as buildings),safe
n10005006,depositor,a person who has deposited money in a bank or similar institution,safe
n10280674,"magician, prestidigitator, conjurer, conjuror, illusionist",someone who performs magic tricks to amuse an audience,safe
n10051761,embryologist,a physician who specializes in embryology,safe
n10065758,ethnologist,an anthropologist who studies ethnology,safe
n10642705,"square shooter, straight shooter, straight arrow",a frank and honest person,safe
n10657835,stock trader,someone who buys and sells stock shares,safe
n10631309,Speaker,"the presiding officer of a deliberative assembly; ""the leader of the majority party is the Speaker of the House of Representatives""",safe
n09866559,bookworm,someone who spends a great deal of time reading,safe
n10559683,"Schoolman, medieval Schoolman",a scholar in one of the universities of the Middle Ages; versed in scholasticism,safe
n09941787,"commander in chief, generalissimo","the officer who holds the supreme command; ""in the U.S. the president is the commander in chief""",safe
n10607291,"skin-diver, aquanaut",an underwater swimmer equipped with a face mask and foot fins and either a snorkel or an air cylinder,safe
n10701180,tennis player,an athlete who plays tennis,safe
n10019406,"diver, plunger",someone who dives (into water),safe
