wnid,synset,gloss,imageability score
n10281896,mahatma,(Hinduism) term of respect for a brahmin sage,1.714285714
n09814567,assenter,a person who assents,1.714285714
n10020533,"ex-wife, ex","a woman who was formerly a particular man's wife; ""all his exes live in Texas""",1.714285714
n10414865,"Pentecostal, Pentecostalist",any member of a Pentecostal religious body,1.714285714
n10515863,Reform Jew,liberal Jew who tries to adapt all aspects of Judaism to modern circumstances,1.714285714
n10362557,Northern Baptist,a member of the American Baptist Convention,1.714285714
n09906449,chameleon,a changeable or inconstant person,1.714285714
n09675045,Kui,a member of the Dravidian people living in southeastern India,1.714285714
n10025635,donna,an Italian woman of rank,1.7
n09968741,"cotter, cottar",a peasant farmer in the Scottish Highlands,1.7
n10355688,newcomer,"a recent arrival; ""he's a newcomer to Boston""",1.7
n09703485,"limey, John Bull",a man of English descent,1.7
n09809925,"arranger, adapter, transcriber",a musician who adapts a composition for particular voices or instruments or for another style of performance,1.7
n09668562,Shawnee,a member of the Algonquian people formerly living along the Tennessee river,1.7
n09658254,"Kalapooia, Kalapuya, Calapooya, Calapuya",a member of the North American Indian people of Oregon,1.7
n10211830,internationalist,a member of a socialist or communist international,1.7
n09737453,"Tungus, Evenk",a member of the Tungus speaking people of Mongolian race who are a nomadic people widely spread over eastern Siberia; related to the Manchu,1.692307692
n10789709,wonderer,someone who is curious about something,1.692307692
n10170681,"hematologist, haematologist",a doctor who specializes in diseases of the blood and blood-forming organs,1.692307692
n09800469,"appellant, plaintiff in error",the party who appeals a decision of a lower court,1.684210526
n09724656,Nicaraguan,a native or inhabitant of Nicaragua,1.666666667
n10442573,"plotter, mapper",a clerk who marks data on a chart,1.666666667
n09901502,"catechumen, neophyte",a new convert being taught the principles of Christianity by a catechist,1.666666667
n09751496,Xhosa,a member of the Negroid people of southern South Africa,1.666666667
n09662951,Nootka,a member of the Wakashan people living on Vancouver Island and in the Cape Flattery region of northwestern Washington,1.666666667
n09903639,censor,a person who is authorized to read publications or correspondence or to watch theatrical performances and suppress in whole or in part anything considered obscene or politically unacceptable,1.666666667
n10611613,"sleuth, sleuthhound",a detective who follows a trail,1.666666667
n09734535,Togolese,a native or inhabitant of Togo,1.666666667
n10143725,granter,a person who grants or gives something,1.666666667
n10597889,signora,an Italian title of address equivalent to Mrs. when used before a name,1.666666667
n10597745,"signor, signior",used as an Italian courtesy title; can be prefixed to the name or used separately,1.666666667
n10390600,packrat,a collector of miscellaneous useless objects,1.666666667
n09804230,archaist,a person who archaizes,1.666666667
n09791014,industry analyst,an analyst of conditions affecting a particular industry,1.666666667
n10135297,"goffer, gopher",a zealously energetic person (especially a salesman),1.666666667
n10155600,haggler,an intense bargainer,1.666666667
n10524076,resident commissioner,the representative of Puerto Rico in the United States House of Representatives,1.666666667
n09617161,"eulogist, panegyrist",an orator who delivers eulogies or panegyrics,1.666666667
n10804732,Young Turk,a member of one or more of the insurgent groups in Turkey in the late 19th century who rebelled against the absolutism of Ottoman rule,1.666666667
n09811568,arthritic,"a person afflicted with arthritis; ""the hands of an elderly arthritic""",1.666666667
n09967816,cost accountant,a specialist in the systematic recording and analysis of the costs incident to production,1.666666667
n09651968,Cheyenne,a member of a North American Indian people living on the western plains (now living in Oklahoma and Montana),1.666666667
n10037588,"Druze, Druse","an adherent of an esoteric monotheistic religious sect living in the relative security of the mountains of Syria and Lebanon who believes that Al-hakim was an incarnation of God; ""a Druze is permitted to conform outwardly to the faith of the unbelievers among whom he lives""",1.666666667
n09811712,articulator,someone who pronounces words,1.666666667
n10740868,"upstart, parvenu, nouveau-riche, arriviste",a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class,1.666666667
n10568443,seconder,someone who endorses a motion or petition as a necessary preliminary to a discussion or vote,1.666666667
n10693334,taxi dancer,a woman employed to dance with patrons who pay a fee for each dance,1.666666667
n10400998,"parodist, lampooner",mimics literary or musical style for comic effect,1.666666667
n10068425,exarch,a viceroy who governed a large province in the Roman Empire,1.636363636
n10003476,den mother,a woman who supervises a den of Cub Scouts,1.636363636
n10167838,hedger,someone who counterbalances one transaction (as a bet) against another in order to protect against loss,1.625
n10214390,"invalidator, voider, nullifier","an official who can invalidate or nullify; ""my bank check was voided and I wanted to know who the invalidator was""",1.625
n10266016,literary critic,a critic of literature,1.625
n09982525,cultist,a member of an unorthodox cult who generally lives outside of conventional society under the direction of a charismatic leader,1.625
n10191388,"humanist, humanitarian",an advocate of the principles of humanism; someone concerned with the interests and welfare of humans,1.625
n10195593,"hypocrite, dissembler, dissimulator, phony, phoney, pretender",a person who professes beliefs and opinions that he or she does not hold in order to conceal his or her real feelings or motives,1.625
n09635973,Aryan,(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew),1.625
n10768148,warrantee,a customer to whom a warrant or guarantee is given,1.625
n09750770,Yemeni,a native or inhabitant of Yemen,1.625
n10219879,Jat,a member of an Indo-European people widely scattered throughout the northwest of the Indian subcontinent and consisting of Muslims and Hindus and Sikhs,1.625
n10527147,revisionist,a Communist who tries to rewrite Marxism to justify a retreat from the revolutionary position,1.625
n10257221,liberator,someone who releases people from captivity or bondage,1.625
n10707134,theosophist,a believer in theosophy,1.625
n09964411,"copycat, imitator, emulator, ape, aper",someone who copies the words or behavior of another,1.625
n10219453,janissary,"a loyal supporter; ""every politician has a following of janissaries""",1.625
n10000459,"deist, freethinker",a person who believes that God created the universe and then abandoned it,1.625
n10501453,"quick study, sponge","someone able to acquire new knowledge and skills rapidly and easily; ""she soaks up foreign languages like a sponge""",1.625
n10691318,"tapper, wiretapper, phone tapper",someone who wiretaps a telephone or telegraph wire,1.625
n09736485,"Turkoman, Turkmen, Turcoman",a member of a Turkic people living in Turkmenistan and neighboring areas,1.625
n10499232,Quebecois,a native or inhabitant of Quebec (especially one who speaks French),1.625
n10338231,"Mullah, Mollah, Mulla",a Muslim trained in the doctrine and law of Islam; the head of a mosque,1.6
n10495167,pursuer,"a person who pursues some plan or goal; ""a pursuer of truth""",1.6
n09707289,Lithuanian,a native or inhabitant of Lithuania,1.6
n10731732,"truant, hooky player",one who is absent from school without permission,1.6
n10019187,district manager,a manager who supervises the sales activity for a district,1.6
n10437698,plainsman,an inhabitant of a plains region (especially the Great Plains of North America),1.6
n10313000,Metis,a person in western Canada who is of Caucasian and American Indian ancestry,1.6
n10692883,"tax assessor, assessor",an official who evaluates property for the purpose of taxing it,1.6
n10486166,protegee,a woman protege,1.6
n10235385,Counsel to the Crown,a barrister selected to serve as counsel to the British ruler,1.6
n09710164,"Greek, Hellene",a native or inhabitant of Greece,1.6
n10648237,"stand-in, substitute, relief, reliever, backup, backup man, fill-in","someone who takes the place of another (as when things get dangerous or difficult); ""the star had a stand-in for dangerous scenes""; ""we need extra employees for summer fill-ins""",1.6
n10411867,"pederast, paederast, child molester",a man who has sex (usually sodomy) with a boy as the passive partner,1.6
n09735654,Chuvash,a member of a people of Turkic speech living in the Volga region in eastern Russia,1.6
n10033663,"dribbler, driveller, slobberer, drooler","a person who dribbles; ""that baby is a dribbler; he needs a bib""",1.6
n09883452,buster,"a person (or thing) that breaks up or overpowers something; ""dam buster""; ""sanction buster""; ""crime buster""",1.6
n10173665,"hero worshiper, hero worshipper",someone who worships heroes,1.6
n10342992,Mycenaen,a native or inhabitant of ancient Mycenae,1.6
n10618848,socialist,a political advocate of socialism,1.6
n09684901,swami,a Hindu religious teacher; used as a title of respect,1.6
n09908769,prison chaplain,a chaplain in a prison,1.6
n10056719,"end man, corner man",a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor,1.6
n09995829,deipnosophist,someone skilled at informal chitchat,1.6
n10458596,prosthetist,an expert in prosthetics,1.6
n10700963,tenderfoot,an inexperienced person (especially someone inexperienced in outdoor living),1.6
n10345659,"nark, copper's nark",an informer or spy working for the police,1.6
n10679723,surpriser,a captor who uses surprise to capture the victim,1.6
n10716576,Tory,an American who favored the British side during the American Revolution,1.6
n10283546,"major-domo, seneschal",the chief steward or butler of a great household,1.6
n09736798,"Uzbek, Uzbeg, Uzbak, Usbek, Usbeg",a member of a Turkic people of Uzbekistan and neighboring areas,1.6
n10246395,languisher,a person who languishes,1.6
n10461060,"poultryman, poulterer",a dealer in poultry and poultry products,1.6
n10492086,puerpera,a woman in childbirth or shortly thereafter,1.6
n10728117,trencher,someone who digs trenches,1.6
n09965787,cornerback,a defensive football player stationed outside the linebackers,1.6
n09556121,"Rhea Silvia, Rea Silvia",(Roman mythology) a vestal virgin who became the mother by Mars of the twins Romulus and Remus,1.6
n10132035,glassblower,someone skilled in blowing bottles from molten glass,1.6
n10385566,"osteopath, osteopathist",a therapist who manipulates the skeleton and muscles,1.6
n10059067,"enophile, oenophile",someone who appreciates wine,1.6
n09743792,"Minnesotan, Gopher",a native or resident of Minnesota,1.6
n09976429,"creature, wight",a human being; `wight' is an archaic term,1.6
n10275395,"loyalist, stalwart",a person who is loyal to their allegiance (especially in times of revolt),1.6
n10414239,penologist,a person who studies the theory and practice of prison management,1.6
n10349836,"Nazarene, Ebionite",a member of a group of Jews who (during the early history of the Christian Church) accepted Jesus as the Messiah; they accepted the Gospel According to Matthew but rejected the Epistles of St. Paul and continued to follow Jewish law and celebrate Jewish holidays; they were later declared heretic by the Church of Rome,1.6
n09698644,Congolese,a native or inhabitant of the Republic of the Congo,1.6
n10194775,hydrologist,a geologist skilled in hydrology,1.6
n09725772,Pakistani,a native or inhabitant of Pakistan,1.6
n10727171,trawler,a fisherman who use a trawl net,1.6
n09639382,Circassian,a member of the Sunni Muslim people living in northwestern Caucasia,1.6
n10173771,Herr,a German man; used before the name as a title equivalent to Mr in English,1.6
n09800964,appointee,an official who is appointed,1.6
n10724372,"transfer, transferee","someone who transfers or is transferred from one position to another; ""the best student was a transfer from LSU""",1.6
n10313239,metropolitan,in the Eastern Orthodox Church this title is given to a position between bishop and patriarch; equivalent to archbishop in western Christianity,1.6
n10508141,ratepayer,a person who pays local rates (especially a householder),1.6
n10577710,selling agent,someone who sells goods (on commission) for others,1.6
n09835153,balletomane,a ballet enthusiast,1.6
n10588724,shelver,a worker who puts things (as books) on shelves,1.6
n10543937,rusher,someone who migrates as part of a rush to a new gold field or a new territory,1.6
n10451590,"pollster, poll taker, headcounter, canvasser","someone who conducts surveys of public opinion; ""a pollster conducts public opinion polls""; ""a headcounter counts heads""",1.6
n10242328,Labourite,a member of the British Labour Party,1.6
n09659188,"Kiliwa, Kiliwi",a member of a North American Indian people living in northern Baja California,1.6
n09902128,"Cavalier, Royalist",a royalist supporter of Charles I during the English Civil War,1.571428571
n10438172,"planner, contriver, deviser",a person who makes plans,1.571428571
n09674412,Gadaba,a member of an agricultural people in southeastern India,1.571428571
n09921034,chosen,"one who is the object of choice; who is given preference; ""she was Mama's chosen""",1.571428571
n10719807,toxicologist,one who studies the nature and effects of poisons and their treatment,1.571428571
n10711766,Timorese,a native or inhabitant of Timor,1.571428571
n09738121,Igbo,"a member of the largest ethnic group in southeastern Nigeria; ""most Igbo are farmers""",1.571428571
n10143595,grantee,a recipient of a grant,1.571428571
n09648911,Aztec,a member of the Nahuatl people who established an empire in Mexico that was overthrown by Cortes in 1519,1.571428571
n10753989,vintager,a person who harvests grapes for making wine,1.571428571
n09725935,Brahui,a member of a Dravidian people living in Pakistan,1.571428571
n10293590,"marchioness, marquise",a noblewoman ranking below a duchess and above a countess,1.571428571
n09868899,boulevardier,a visitor of a city boulevard (especially in Paris),1.571428571
n10443830,pluralist,a cleric who holds more than one benefice at a time,1.571428571
n10051975,"emigrant, emigre, emigree, outgoer",someone who leaves one country to settle in another,1.571428571
n09744462,"New Jerseyan, New Jerseyite, Garden Stater",a native of resident of New Jersey,1.571428571
n10082997,federalist,an advocate of federalism,1.571428571
n10082423,"Fauve, fauvist",a member of a group of French painters who followed fauvism,1.571428571
n09808591,armiger,a nobleman entitled to bear heraldic arms,1.571428571
n09681234,Copt,a member of the Coptic Church,1.571428571
n09664908,Passamaquody,a member of the Algonquian people related to the Malecite and living in northeastern Maine and New Brunswick,1.571428571
n10574538,secularist,an advocate of secularism; someone who believes that religion should be excluded from government and education,1.571428571
n09970822,compromiser,"a negotiator willing to compromise; ""Henry Clay was known as the Great Compromiser""",1.571428571
n10487592,psephologist,a sociologist who studies election trends,1.571428571
n09712696,"Malay, Malayan",a member of a people inhabiting the northern Malay Peninsula and Malaysia and parts of the western Malay Archipelago,1.555555556
n09920106,choragus,(ancient Greece) leader of a group or festival; leader of a chorus,1.555555556
n09730204,"Scandinavian, Norse, Northman",an inhabitant of Scandinavia,1.555555556
n10483138,"propagator, disseminator",someone who spreads the news,1.555555556
n09904837,"centrist, middle of the roader, moderate, moderationist",a person who takes a position in the political center,1.555555556
n09690864,Anguillan,a native or inhabitant of the island of Anguilla in the West Indies,1.555555556
n10362003,nonresident,"someone who does not live in a particular place; ""described by an admiring nonresident as a green and pleasant land""",1.555555556
n10756061,viscountess,a wife or widow of a viscount,1.555555556
n09748889,Ghanian,a native or inhabitant of Ghana,1.555555556
n10448455,point woman,a woman who is the forefront of an important enterprise,1.555555556
n09867154,borderer,an inhabitant of a border area (especially the border between Scotland and England),1.545454545
n09679170,gentile,a person who is not a member of one's own religion; used in this sense by Mormons and Hindus,1.545454545
n10174589,"highflier, highflyer",a person of great ability and ambition,1.545454545
n10518349,"reliever, allayer, comforter","a person who reduces the intensity (e.g., of fears) and calms and pacifies; ""a reliever of anxiety""; ""an allayer of fears""",1.545454545
n09607903,Ashkenazi,a Jew of eastern European or German descent,1.5
n10248198,latitudinarian,a person who is broad-minded and tolerant (especially in standards of religious belief and conduct),1.5
n09714120,Icelander,a native or inhabitant of Iceland,1.5
n10514784,refiner,"one whose work is to refine a specific thing; ""he was a sugar refiner""",1.5
n09734639,Tuareg,a member of a nomadic Berber people of the Sahara,1.5
n10355142,neutral,one who does not side with any party in a war or dispute,1.5
n10441694,pledger,someone who makes or gives a pledge,1.5
n10768272,warrantee,a recipient of a warrant issued by a court in the United States,1.5
n10293861,margrave,a German nobleman ranking above a count (corresponding in rank to a British marquess),1.5
n10250712,lay reader,a layman who is authorized by the bishop to read parts of the service in an Anglican or Episcopal church,1.5
n10464870,"preemptor, pre-emptor",a bidder in bridge who makes a preemptive bid,1.5
n10441962,plenipotentiary,a diplomat who is fully authorized to represent his or her government,1.5
n10062275,Episcopalian,a member of the Episcopal church,1.5
n10387836,outlier,a person who lives away from his place of work,1.5
n09753348,"Sagittarius, Archer",(astrology) a person who is born while the sun is in Sagittarius,1.5
n10688356,tactician,a person who is skilled at planning tactics,1.5
n10538629,"ropemaker, rope-maker, roper",a craftsman who makes ropes,1.5
n10353928,neurobiologist,a specialist in neurobiology,1.5
n09724533,"New Zealander, Kiwi",a native or inhabitant of New Zealand,1.5
n10514255,referral,"a person whose case has been referred to a specialist or professional group; ""the patient is a referral from Dr. Bones""",1.5
n10122300,gatherer,"a person who gathers; ""they were a society of hunters and gatherers""",1.5
n10025060,"dominus, dominie, domine, dominee",a clergyman; especially a settled minister or parson,1.5
n09947127,complexifier,someone makes things complex,1.5
n10671898,"succorer, succourer",someone who gives help in times of need or distress or difficulty,1.5
n10219240,Jane Doe,an unknown or fictitious woman who is a party to legal proceedings,1.5
n10227166,Jungian,a follower or advocate of Carl Jung's theories,1.5
n09672840,Yokuts,a member of the North American Indian people of the San Joaquin Valley,1.5
n10058411,enjoyer,a person who delights in having or using or experiencing something,1.5
n09703809,Cornishman,a man who is a native or inhabitant of Cornwall,1.5
n10383816,"originator, conceiver, mastermind",someone who creates new things,1.5
n10160412,"harmonizer, harmoniser",a mediator who brings one thing into harmonious agreement with another,1.5
n10712835,"tipster, tout",one who sells advice about gambling or speculation (especially at the racetrack),1.454545455
n09793352,"anecdotist, raconteur",a person skilled in telling anecdotes,1.444444444
n09910556,chartered accountant,a British or Canadian accountant who is a member of a professional body that has a royal charter,1.444444444
n10751710,vice-regent,a regent's deputy,1.444444444
n09721244,"Luxemburger, Luxembourger",a native or inhabitant of Luxembourg,1.444444444
n10724570,transferee,(law) someone to whom a title or property is conveyed,1.444444444
n10574311,section hand,a laborer assigned to a section gang,1.444444444
n09666476,Powhatan,a member of the Algonquian people who formerly lived in eastern Virginia,1.444444444
n09723944,Nauruan,a native or inhabitant of Nauru,1.444444444
n09703344,"Lombard, Langobard",a member of a Germanic people who invaded northern Italy in the 6th century,1.444444444
n10791890,worldling,a person absorbed by the concerns and interests and pleasures of the present world,1.428571429
n09747495,Gambian,a native or inhabitant of Gambia,1.428571429
n10580535,"serf, helot, villein",(Middle Ages) a person who is bound to the land and owned by the feudal lord,1.428571429
n10775003,wetter,a workman who wets the work in a manufacturing process,1.428571429
n09685806,Shintoist,a believer in Shintoism,1.428571429
n10739297,UNIX guru,an expert on the UNIX operating system,1.428571429
n10693824,"taxonomist, taxonomer, systematist",a biologist who specializes in the classification of organisms into groups on the basis of their structure and origin and behavior,1.428571429
n09662038,"Muskhogean, Muskogean",a member of any of the peoples formerly living in southeastern United States and speaking Muskhogean languages,1.428571429
n10180580,holdout,"a negotiator who hopes to gain concessions by refusing to come to terms; ""their star pitcher was a holdout for six weeks""",1.428571429
n09869578,Bourbon,a member of the European royal family that ruled France,1.428571429
n10218164,Jack of all trades,a person able to do a variety of different jobs acceptably well,1.428571429
n09679028,"gentile, non-Jew, goy",a Christian as contrasted with a Jew,1.428571429
n09865744,bookbinder,a worker whose trade is binding books,1.428571429
n10366145,nullipara,(obstetrics) a woman who has never give birth to a child,1.428571429
n10061195,enzymologist,a person who is trained in or engaged in enzymology,1.428571429
n10076483,"falangist, phalangist",a Spanish member of General Franco's political party,1.428571429
n09750282,Papuan,a native or inhabitant of Papua New Guinea or New Guinea,1.428571429
n10760951,vower,"someone who makes a solemn promise to do something or behave in a certain way; ""young vowers of eternal love""; ""there are many vowers of chastity but few who observe it""",1.428571429
n10509161,realist,a philosopher who believes that universals are real and exist independently of anyone thinking of them,1.428571429
n10743356,Utopian,"an idealistic (but usually impractical) social reformer; ""a Utopian believes in the ultimate perfectibility of man""",1.428571429
n10070449,exegete,a person skilled in exegesis (especially of religious texts),1.428571429
n09795010,annotator,a commentator who writes notes to a text,1.428571429
n10642705,"square shooter, straight shooter, straight arrow",a frank and honest person,1.428571429
n10554024,Savoyard,a person who performs in the operettas of Gilbert and Sullivan,1.428571429
n10062492,equerry,a personal attendant of the British royal family,1.428571429
n09935434,"collaborator, cooperator, partner, pardner","an associate in an activity or endeavor or sphere of common interest; ""the musician and the librettist were collaborators""; ""sexual partners""",1.428571429
n10459882,postulant,one submitting a request or application especially one seeking admission into a religious order,1.428571429
n09764201,acquirer,a person who acquires something (usually permanently),1.4
n10025391,Donatist,an adherent of Donatism,1.4
n10222259,jilt,a woman who jilts a lover,1.4
n09674786,Kolam,a member of a formerly tribal people now living in south central India,1.4
n09755788,abecedarian,a novice learning the rudiments of some subject,1.4
n09846469,"Bedouin, Beduin",a member of a nomadic tribe of Arabs,1.4
n09725653,Omani,a native or inhabitant of Oman,1.4
n10418101,personification,"a person who represents an abstract quality; ""she is the personification of optimism""",1.4
n09752023,Zulu,a member of the tall Negroid people of eastern South Africa; some live in KwaZulu-Natal under the traditional clan system but many now work in the cities,1.4
n10553140,satrap,a governor of a province in ancient Persia,1.4
n09728285,"Romanian, Rumanian",a native or inhabitant of Romania,1.4
n10117267,"gagman, gagster, gagwriter",someone who writes comic material for public performers,1.4
n09673091,Yuma,a member of the North American Indian people of Arizona and adjacent Mexico and California,1.4
n09654898,Diegueno,a member of a North American Indian people of southern California,1.4
n10680609,surveyor,an engineer who determines the boundaries and elevations of land or structures,1.4
n10561222,scion,"a descendent or heir; ""a scion of royal stock""",1.4
n09730077,Sarawakian,a native or inhabitant of Sarawak,1.4
n09950457,compulsive,a person with a compulsive disposition; someone who feels compelled to do certain things,1.4
n09745229,"Oregonian, Beaver",a native or resident of Oregon,1.4
n10659762,stooper,a person who carries himself or herself with the head and shoulders habitually bent forward,1.4
n10074841,"extrovert, extravert",(psychology) a person concerned more with practical realities than with inner thoughts and feelings,1.4
n09660010,Malecite,a member of the Algonquian people of northeastern Maine and New Brunswick,1.4
n09891730,canonist,a specialist in canon law,1.4
n10479328,"procurer, securer","someone who obtains or acquires; ""the procurer of opera tickets""",1.4
n09629246,sensualist,a person who enjoys sensuality,1.4
n10458111,"problem solver, solver, convergent thinker",a thinker who focuses on the problem as stated and tries to synthesize information and knowledge to achieve a solution,1.4
n10466564,presentist,a theologian who believes that the Scripture prophecies of the Apocalypse (the Book of Revelation) are being fulfilled at the present time,1.4
n10064977,etcher,someone who etches,1.4
n10774329,westerner,an inhabitant of a western area; especially of the U.S.,1.4
n09719794,"Lao, Laotian",a member of a Buddhist people inhabiting the area of the Mekong River in Laos and Thailand and speaking the Lao language; related to the Thais,1.4
n09743487,"Mainer, Down Easter",a native or resident of Maine,1.4
n09741999,"Delawarean, Delawarian",a native or resident of Delaware,1.4
n10704886,thane,a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land),1.4
n10657556,stockjobber,one who deals only with brokers or other jobbers,1.4
n10686694,syncopator,"a musician who plays syncopated jazz music (usually in a dance band); ""they called themselves the Dixie Syncopators""",1.4
n10559009,scholiast,a scholar who writes explanatory notes on an author (especially an ancient commentator on a classical author),1.4
n10465002,"preemptor, pre-emptor",someone who acquires land by preemption,1.4
n10357012,Newtonian,a follower of Isaac Newton,1.4
n10774756,West-sider,a resident of the west side of Manhattan in New York City,1.4
n09654079,Creek,any member of the Creek Confederacy (especially the Muskogee) formerly living in Georgia and Alabama but now chiefly in Oklahoma,1.4
n10506915,ranker,a commissioned officer who has been promoted from enlisted status,1.4
n09784043,algebraist,a mathematician whose specialty is algebra,1.4
n10565502,"scrutineer, canvasser",someone who examines votes at an election,1.4
n09875025,bridge agent,an operative who acts as a courier or go-between from a case officer to a secret agent in a hostile area,1.4
n10417843,persona grata,a diplomat who is acceptable to the government to which he is sent,1.4
n10477713,"probationer, student nurse",a nurse in training who is undergoing a trial period,1.4
n10061043,"envoy, envoy extraordinary, minister plenipotentiary",a diplomat having less authority than an ambassador,1.4
n10620586,sociolinguist,a linguist who studies the social and cultural factors that influence linguistic communication,1.4
n09915434,"Cheops, Khufu",Egyptian Pharaoh of the 27th century BC who commissioned the Great Pyramid at Giza,1.4
n10527334,"revolutionist, revolutionary, subversive, subverter",a radical supporter of political or social revolution,1.4
n10488656,psycholinguist,a person (usually a psychologist but sometimes a linguist) who studies the psychological basis of human language,1.4
n10221520,Jesuit,a member of the Jesuit order,1.4
n09890192,camp follower,a follower who is not a member of an ingroup,1.4
n09780395,air attache,a military attache who is a commissioned or warrant officer in an air force,1.4
n10572889,"Secretary of the Interior, Interior Secretary","the person who holds the secretaryship of the Interior Department; ""President Taylor appointed Thomas Ewing as the first Secretary of the Interior""",1.4
n09802951,Arabist,a scholar who specializes in Arab languages and culture,1.4
n10705615,"theologian, theologist, theologizer, theologiser",someone who is learned in theology or who speculates about theology,1.4
n09709673,Creole,a person of European descent born in the West Indies or Latin America,1.4
n10300829,materialist,someone who thinks that nothing exists but physical matter,1.4
n10438619,"planter, plantation owner",the owner or manager of a plantation,1.4
n10758445,vizier,a high official in a Muslim government (especially in the Ottoman Empire),1.4
n09655466,Eyeish,a member of the Caddo people of northeastern Texas,1.4
n10707707,Thessalonian,a native or inhabitant of Thessalonica,1.4
n09819477,"cosmographer, cosmographist",a scientist knowledgeable about cosmography,1.4
n09720702,Levantine,(formerly) a native or inhabitant of the Levant,1.4
n09720842,Liberian,a native or inhabitant of Liberia,1.4
n09746936,Uruguayan,a native or inhabitant of Uruguay,1.4
n10355306,neutralist,an advocate of neutrality in international affairs,1.4
n09815455,assignee,"(law) the party to whom something is assigned (e.g., someone to whom a right or property is legally transferred)",1.4
n10596517,sightreader,a performer who reads without preparation or prior acquaintance (as in music),1.375
n09618760,exponent,someone who expounds and interprets or explains,1.375
n10487363,psalmist,"a composer of sacred songs; ""David is called The Psalmist because he is believed to be the author of the Book of Psalms""",1.375
n10690421,tallyman,one who sells goods on the installment plan,1.375
n10634990,spellbinder,an orator who can hold his listeners spellbound,1.363636364
n09668199,"Shahaptian, Sahaptin, Sahaptino",a member of a North American Indian people who lived in Oregon along the Columbia river and its tributaries in Washington and northern Idaho,1.333333333
n10258786,licentiate,holds a license (degree) from a (European) university,1.333333333
n09987045,cytologist,a biologist who studies the structure and function of cells,1.333333333
n09713108,"Netherlander, Dutchman, Hollander",a native or inhabitant of Holland,1.333333333
n10743124,"utilizer, utiliser","someone who puts to good use; ""not all organisms are utilizers of oxygen""; ""the social agencies and their utilizers both objected to the budget cut""",1.333333333
n10314182,middlebrow,someone who is neither a highbrow nor a lowbrow,1.333333333
n10764465,walking delegate,a union representative who visits workers at their jobs to see whether agreements are observed,1.333333333
n09656077,Havasupai,a member of a North American Indian people of Cataract Canyon in Arizona,1.333333333
n09750891,"Yugoslav, Jugoslav, Yugoslavian, Jugoslavian",a native or inhabitant of Yugoslavia,1.333333333
n09703101,West Saxon,an inhabitant of Wessex,1.333333333
n09980805,"crossover voter, crossover",a voter who is registered as a member of one political party but who votes in the primary of another party,1.333333333
n10457444,postulator,someone who assumes or takes something for granted as the basis of an argument,1.333333333
n09912907,Chechen,a native or inhabitant of Chechnya,1.3
n10526534,revenant,a person who returns after a lengthy absence,1.285714286
n10537708,"Romanov, Romanoff",a member of the imperial family that ruled Russia,1.285714286
n09935107,coiner,someone who is a source of new words or new expressions,1.285714286
n10341243,musicologist,a student of musicology,1.285714286
n10478293,proconsul,a provincial governor of consular rank in the Roman Republic and Roman Empire,1.285714286
n10513509,redcap,a member of the military police in Britain,1.285714286
n10483799,prophetess,a woman prophet,1.285714286
n10702167,termer,"a person who serves a specified term; ""there are not many fourth termers in the Senate""",1.285714286
n09783776,alienor,someone from whom the title of property is transferred,1.285714286
n09672725,Yavapai,a member of a North American Indian people of central Arizona,1.285714286
n09712967,Moro,a member of the predominantly Muslim people in the southern Philippines,1.285714286
n09950728,computational linguist,someone trained in computer science and linguistics who uses computers for natural language processing,1.285714286
n09808080,"Aristotelian, Aristotelean, Peripatetic",a follower of Aristotle or an adherent of Aristotelianism,1.272727273
n09675673,Toda,a member of a pastoral people living in the Nilgiri Hills of southern India,1.25
n09729062,Muscovite,a resident of Moscow,1.25
n10077106,familiar,a person attached to the household of a high official (as a pope or bishop) who renders service in return for support,1.25
n09659039,Kickapoo,a member of the Algonquian people formerly inhabiting southern Wisconsin and northern Illinois,1.222222222
n10386196,out-and-outer,someone who is excellent at something,1.222222222
n10251612,leaker,"a surreptitious informant; ""the president wanted to know who the leakers were""",1.222222222
n10050043,elegist,the author of a mournful poem lamenting the dead,1.222222222
n09688233,Gael,a Gaelic-speaking Celt in Ireland or Scotland or the Isle of Man,1.222222222
n09671089,Tutelo,a member of the Siouan people of Virginia and North Carolina,1.222222222
n09986700,Cynic,a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control,1.222222222
n09777870,buck sergeant,a sergeant of the lowest rank in the military,1.2
n09814252,assayer,an analyst who assays (performs chemical tests on) metals,1.2
n10522035,representative,a person who represents others,1.2
n09666349,Potawatomi,a member of the Algonquian people originally of Michigan and Wisconsin,1.2
n10727016,traverser,"someone who moves or passes across; ""the traversers slowly ascended the mountain""",1.2
n09745933,Utahan,a native or resident of Utah,1.2
n09778266,agent-in-place,an operative serving as a penetration into an intelligence target,1.2
n10179069,hobbyist,a person who pursues an activity in their spare time for pleasure,1.2
n10018747,distortionist,a painter who introduces distortions,1.2
n10663549,"stretcher-bearer, litter-bearer",one who helps carry a stretcher,1.2
n10308504,"memorizer, memoriser",a person who learns by rote,1.2
n10497135,qadi,an Islamic judge,1.2
n10277815,Lutheran,follower of Lutheranism,1.2
